,Unnamed: 0,description,username,public_metrics,id,name,created_at,followers_count_caller,following_count_caller,tweet_count_caller,listed_count_caller,followers_count_other,following_count_other,tweet_count_other,listed_count_other
10,10,not the darth you are looking for,darth,"{'followers_count': 232329, 'following_count': 4197, 'tweet_count': 28923, 'listed_count': 2056}",1337271,darth™,2007-03-17T05:38:49.000Z, 232329, 4197, 28923, 2056}, 232329, 4197, 28923, 2056}
11,11,"Best friends talking video games and more on YouTube, Twitch, and Patreon. We're supported by the best community on the Internet! Epic Creator Code: KindaFunny",KindaFunnyVids,"{'followers_count': 178553, 'following_count': 471, 'tweet_count': 26417, 'listed_count': 900}",2804836938,Kinda Funny,2014-09-12T03:42:54.000Z, 178553, 471, 26417, 900}, 178553, 471, 26417, 900}
12,12,Chief evangelist @Canva 🎧 Host Remarkable People podcast https://t.co/Hout7LwJjC  Text me @ 1-831-609-0628,GuyKawasaki,"{'followers_count': 1407516, 'following_count': 488, 'tweet_count': 202187, 'listed_count': 36366}",8453452,Guy Kawasaki,2007-08-27T03:36:53.000Z, 1407516, 488, 202187, 36366}, 1407516, 488, 202187, 36366}
13,13,"Somente automobilismo e nada mais!
Mesmo adm do @Puck_depre",VelocidadeDepre,"{'followers_count': 65, 'following_count': 638, 'tweet_count': 1550, 'listed_count': 3}",1477702073533800452,Automobilismo Deprê,2022-01-02T18:03:42.000Z, 65, 638, 1550, 3}, 65, 638, 1550, 3}
14,14,Always near food....,GordonRamsay,"{'followers_count': 7665689, 'following_count': 33797, 'tweet_count': 24568, 'listed_count': 12682}",110365072,Gordon Ramsay,2010-02-01T08:31:59.000Z, 7665689, 33797, 24568, 12682}, 7665689, 33797, 24568, 12682}
15,15,The need for independent journalism has never been greater. Become a Guardian supporter: https://t.co/gWyuUVlObq,guardian,"{'followers_count': 10610228, 'following_count': 1061, 'tweet_count': 761542, 'listed_count': 69780}",87818409,The Guardian,2009-11-05T23:49:19.000Z, 10610228, 1061, 761542, 69780}, 10610228, 1061, 761542, 69780}
16,16,de-motivational speaker,chrissyteigen,"{'followers_count': 13258959, 'following_count': 4782, 'tweet_count': 14686, 'listed_count': 8733}",39364684,chrissy teigen,2009-05-11T22:50:04.000Z, 13258959, 4782, 14686, 8733}, 13258959, 4782, 14686, 8733}
17,17,I retweet the greatest tweets on twitter. DMs open send me great tweets!!!,kalesalad,"{'followers_count': 206947, 'following_count': 5, 'tweet_count': 11864, 'listed_count': 435}",794340244967538689,Kale Salad,2016-11-04T00:47:27.000Z, 206947, 5, 11864, 435}, 206947, 5, 11864, 435}
18,18,News tips? Share them here: https://t.co/ghL9OoYKMM,nytimes,"{'followers_count': 53628595, 'following_count': 893, 'tweet_count': 478815, 'listed_count': 216282}",807095,The New York Times,2007-03-02T20:41:42.000Z, 53628595, 893, 478815, 216282}, 53628595, 893, 478815, 216282}
19,19,"Home for all things curious, including surprising facts; answers to life's big questions; and untold stories from history, science, pop culture, and beyond.",mental_floss,"{'followers_count': 771605, 'following_count': 13133, 'tweet_count': 127088, 'listed_count': 12361}",20065936,Mental Floss,2009-02-04T16:25:17.000Z, 771605, 13133, 127088, 12361}, 771605, 13133, 127088, 12361}
20,20,"TED is a nonprofit devoted to spreading ideas. 🔴  Help build a better future, become a TED Member today: https://t.co/NSSThTmhbv",TEDTalks,"{'followers_count': 11409352, 'following_count': 690, 'tweet_count': 41894, 'listed_count': 52861}",15492359,TED Talks,2008-07-19T13:22:50.000Z, 11409352, 690, 41894, 52861}, 11409352, 690, 41894, 52861}
21,21,"Breaking news from CNN Digital. Now 62M strong. Check @cnn for all things CNN, breaking and more. Download the app for custom alerts: https://t.co/8bf79vV51N",cnnbrk,"{'followers_count': 63418681, 'following_count': 121, 'tweet_count': 78102, 'listed_count': 193522}",428333,CNN Breaking News,2007-01-02T01:48:14.000Z, 63418681, 121, 78102, 193522}, 63418681, 121, 78102, 193522}
22,22,Reader. Writer. Author of #Figuring. Maker of #UniverseInVerse. Lover of trees. Petter of moss. Rider of a cobalt blue bicycle with a golden bell.,brainpicker,"{'followers_count': 949010, 'following_count': 373, 'tweet_count': 141971, 'listed_count': 23891}",9207632,Maria Popova,2007-10-02T14:18:16.000Z, 949010, 373, 141971, 23891}, 949010, 373, 141971, 23891}
23,23,Fellow @Shorensteinctr. Board @TheCityNYC @MediaFunders. Former VP Journalism @knightfdn. Veteran @nytimes. Let's fight disinfo by rebuilding  #localnews.,JenniferPreston,"{'followers_count': 97268, 'following_count': 6457, 'tweet_count': 6798, 'listed_count': 5406}",37759047,JenniferPreston,2009-05-04T21:02:22.000Z, 97268, 6457, 6798, 5406}, 97268, 6457, 6798, 5406}
24,24,"The definitive guide to the world's hidden wonders. Order our latest book ""Gastro Obscura: A Food Adventurer's Guide"" today! https://t.co/UeOripjvHu",atlasobscura,"{'followers_count': 467824, 'following_count': 3316, 'tweet_count': 79968, 'listed_count': 5272}",57047586,Atlas Obscura,2009-07-15T15:33:08.000Z, 467824, 3316, 79968, 5272}, 467824, 3316, 79968, 5272}
25,25,,britneyspears,"{'followers_count': 55857169, 'following_count': 363018, 'tweet_count': 5637, 'listed_count': 108934}",16409683,Britney Spears,2008-09-22T20:47:35.000Z, 55857169, 363018, 5637, 108934}, 55857169, 363018, 5637, 108934}
26,26,Sharing things I'm learning through my foundation work and other interests.,BillGates,"{'followers_count': 60024330, 'following_count': 434, 'tweet_count': 3984, 'listed_count': 122328}",50393960,Bill Gates,2009-06-24T18:44:10.000Z, 60024330, 434, 3984, 122328}, 60024330, 434, 3984, 122328}
27,27,What's happening?!,Twitter,"{'followers_count': 62274549, 'following_count': 0, 'tweet_count': 15010, 'listed_count': 87490}",783214,Twitter,2007-02-20T14:35:54.000Z, 62274549, 0, 15010, 87490}, 62274549, 0, 15010, 87490}
28,28,Amazon. Blue Origin. Washington Post. Bezos Earth Fund. Bezos Academy.,JeffBezos,"{'followers_count': 4941095, 'following_count': 91, 'tweet_count': 359, 'listed_count': 10959}",15506669,Jeff Bezos,2008-07-20T22:38:36.000Z, 4941095, 91, 359, 10959}, 4941095, 91, 359, 10959}
29,29,I write hooks but I’m really just here for the bridge.,jtimberlake,"{'followers_count': 63095398, 'following_count': 336, 'tweet_count': 4364, 'listed_count': 67410}",26565946,Justin Timberlake,2009-03-25T19:10:50.000Z, 63095398, 336, 4364, 67410}, 63095398, 336, 4364, 67410}
30,30,"SpaceX designs, manufactures and launches the world’s most advanced rockets and spacecraft",SpaceX,"{'followers_count': 24122681, 'following_count': 99, 'tweet_count': 6036, 'listed_count': 35499}",34743251,SpaceX,2009-04-23T21:53:30.000Z, 24122681, 99, 6036, 35499}, 24122681, 99, 6036, 35499}
31,31,REVELACIÓN out now: https://t.co/XehCbP5LEv,selenagomez,"{'followers_count': 66074198, 'following_count': 1088, 'tweet_count': 5425, 'listed_count': 120423}",23375688,Selena Gomez,2009-03-09T00:16:45.000Z, 66074198, 1088, 5425, 120423}, 66074198, 1088, 5425, 120423}
32,32,@SKKN @SKIMS @KKHOFFICIAL @KARDASHIANSHULU,KimKardashian,"{'followers_count': 73175030, 'following_count': 120, 'tweet_count': 35681, 'listed_count': 72541}",25365536,Kim Kardashian,2009-03-19T19:21:56.000Z, 73175030, 120, 35681, 72541}, 73175030, 120, 35681, 72541}
33,33,Prime Minister of India,narendramodi,"{'followers_count': 81046323, 'following_count': 2434, 'tweet_count': 33527, 'listed_count': 28938}",18839785,Narendra Modi,2009-01-10T17:18:56.000Z, 81046323, 2434, 33527, 28938}, 81046323, 2434, 33527, 28938}
34,34,like and subscribe.,YouTube,"{'followers_count': 75773854, 'following_count': 1205, 'tweet_count': 45560, 'listed_count': 80058}",10228272,YouTube,2007-11-13T21:43:46.000Z, 75773854, 1205, 45560, 80058}, 75773854, 1205, 45560, 80058}
35,35,"Comedian, talk show host and ice road trucker. My tweets are real, and they’re spectacular. @ellentube @theellenfund",TheEllenShow,"{'followers_count': 77440242, 'following_count': 26279, 'tweet_count': 24061, 'listed_count': 95907}",15846407,Ellen DeGeneres,2008-08-14T03:50:42.000Z, 77440242, 26279, 24061, 95907}, 77440242, 26279, 24061, 95907}
36,36,THE CHROMATICA BALL ⚔️💓 | Hold My Hand ✈️ Out Now | HAUS LABS 💄 @hauslabs | Love For Sale 🎺 Out Now https://t.co/CO0n8zLh7T,ladygaga,"{'followers_count': 84860584, 'following_count': 117782, 'tweet_count': 9900, 'listed_count': 202971}",14230524,Lady Gaga,2008-03-26T22:37:48.000Z, 84860584, 117782, 9900, 202971}, 84860584, 117782, 9900, 202971}
37,37,"Happy, free, confused and lonely at the same time. Red (Taylor’s Version) out now",taylorswift13,"{'followers_count': 90714285, 'following_count': 0, 'tweet_count': 720, 'listed_count': 113374}",17919972,Taylor Swift,2008-12-06T10:10:54.000Z, 90714285, 0, 720, 113374}, 90714285, 0, 720, 113374}
38,38,,rihanna,"{'followers_count': 107008550, 'following_count': 989, 'tweet_count': 10632, 'listed_count': 93977}",79293791,Rihanna,2009-10-02T21:37:33.000Z, 107008550, 989, 10632, 93977}, 107008550, 989, 10632, 93977}
39,39,Love. Light.,katyperry,"{'followers_count': 108918523, 'following_count': 242, 'tweet_count': 11703, 'listed_count': 127885}",21447363,KATY PERRY,2009-02-20T23:45:56.000Z, 108918523, 242, 11703, 127885}, 108918523, 242, 11703, 127885}
40,40,JUSTICE the album out now,justinbieber,"{'followers_count': 114151518, 'following_count': 283373, 'tweet_count': 31374, 'listed_count': 537257}",27260086,Justin Bieber,2009-03-28T16:41:22.000Z, 114151518, 283373, 31374, 537257}, 114151518, 283373, 31374, 537257}
41,41,"Dad, husband, President, citizen.",BarackObama,"{'followers_count': 132372025, 'following_count': 582151, 'tweet_count': 16546, 'listed_count': 221400}",813286,Barack Obama,2007-03-05T22:08:25.000Z, 132372025, 582151, 16546, 221400}, 132372025, 582151, 16546, 221400}
42,42,There's space for everybody. ✨,NASA,"{'followers_count': 60410562, 'following_count': 182, 'tweet_count': 68308, 'listed_count': 99015}",11348282,NASA,2007-12-19T20:20:32.000Z, 60410562, 182, 68308, 99015}, 60410562, 182, 68308, 99015}
43,43,,Oprah,"{'followers_count': 43273415, 'following_count': 324, 'tweet_count': 13581, 'listed_count': 83565}",19397785,Oprah Winfrey,2009-01-23T15:18:34.000Z, 43273415, 324, 13581, 83565}, 43273415, 324, 13581, 83565}
44,44,The Tonight Show Starring @JimmyFallon Weeknights 11:35/10:35c on @NBC  Tweet along with us using #FallonTonight,FallonTonight,"{'followers_count': 4504062, 'following_count': 20881, 'tweet_count': 96934, 'listed_count': 9651}",19777398,The Tonight Show,2009-01-30T17:26:46.000Z, 4504062, 20881, 96934, 9651}, 4504062, 20881, 96934, 9651}
45,45,astrophysicist,jimmyfallon,"{'followers_count': 51334622, 'following_count': 11020, 'tweet_count': 14161, 'listed_count': 61757}",15485441,Fallon.eth,2008-07-18T19:46:50.000Z, 51334622, 11020, 14161, 61757}, 51334622, 11020, 14161, 61757}
46,46,I... Tweet!!!!!!,Sethrogen,"{'followers_count': 9349200, 'following_count': 1838, 'tweet_count': 11495, 'listed_count': 11021}",443215941,Seth Rogen,2011-12-21T23:17:52.000Z, 9349200, 1838, 11495, 11021}, 9349200, 1838, 11495, 11021}
47,47,The ONLY official social media account for Actor and Author Jim Carrey!,JimCarrey,"{'followers_count': 19076018, 'following_count': 1, 'tweet_count': 4698, 'listed_count': 53087}",52551600,Jim Carrey,2009-06-30T22:58:44.000Z, 19076018, 1, 4698, 53087}, 19076018, 1, 4698, 53087}
48,48,,SamuelLJackson,"{'followers_count': 9041946, 'following_count': 862, 'tweet_count': 3850, 'listed_count': 17470}",75974281,Samuel L. Jackson,2009-09-21T06:47:04.000Z, 9041946, 862, 3850, 17470}, 9041946, 862, 3850, 17470}
49,49,"I'm an actor, director and producer.",DannyDeVito,"{'followers_count': 4388364, 'following_count': 25, 'tweet_count': 7441, 'listed_count': 20206}",71876190,Danny DeVito,2009-09-05T19:44:48.000Z, 4388364, 25, 7441, 20206}, 4388364, 25, 7441, 20206}
